Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
"950 Sq Ft Apartment For Sale In Dakshin Khan, Near Islami Bank Bd Ltd.",3,2,2,vacant,950,dhaka,"৳4,000,000","Moushair, Dakshin Khan"
"A 1,365 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Uttar Badda",3,3,3,vacant,1365,dhaka,"৳8,540,000","Uttar Badda, Badda"
Favorable 1128 SFT 3 Bedroom Flat For Sale In Badda,3,3,3,vacant,1128,dhaka,"৳7,118,000","Uttar Badda, Badda"
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3,4,3,vacant,1960,dhaka,"৳39,000,000","Gulshan 1, Gulshan"
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3,3,1,vacant,1705,dhaka,"৳16,900,000","Lake Circus Road, Kalabagan"
1370 square feet apartment is ready to sale in Shukrabad,3,3,6,vacant,1370,dhaka,"৳12,500,000","Shukrabad, Dhanmondi"
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3,3,4,vacant,2125,dhaka,"৳20,000,000","Block L, Bashundhara R-A"
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3,3,4,vacant,2687,dhaka,"৳47,500,000","Road No 25, Banani"
Modern 1150 Sq Ft Flat For Sale In Badda,3,3,3,vacant,1150,dhaka,"৳8,800,000","Middle Badda, Badda"
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3,3,8,vacant,2119,dhaka,"৳19,000,000","Block B, Bashundhara R-A"
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4,4,2,vacant,2318,dhaka,"৳23,000,000","Block D, Bashundhara R-A"
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3,3,8,vacant,1397,dhaka,"৳8,000,000","Matuail, Demra"
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3,3,1,vacant,2400,dhaka,"৳20,000,000","Block H, Aftab Nagar"
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3,3,3,vacant,1300,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3,3,4,vacant,1300,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3,3,6,vacant,1300,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3,3,1,vacant,1900,dhaka,"৳21,000,000","Block B, Bashundhara R-A"
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3,3,5,vacant,1500,dhaka,"৳11,000,000","Block H, Aftab Nagar"
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3,3,3,vacant,1450,dhaka,"৳9,500,000","Sector 10, Uttara"
Offering you 750 SQ FT flat for sale in Uttara 10,2,2,2,vacant,750,dhaka,"৳6,200,000","Sector 10, Uttara"
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3,3,4,vacant,2343,dhaka,"৳22,000,000","Sector 6, Uttara"
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3,3,5,vacant,1185,dhaka,"৳11,000,000","Lake Circus Road, Kalabagan"
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3,3,4,vacant,1610,dhaka,"৳13,100,000","Block H, Bashundhara R-A"
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4,4,7,vacant,2180,dhaka,"৳17,500,000","Block J, Bashundhara R-A"
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4,4,2,vacant,3650,dhaka,"৳78,000,000","Gulshan 2, Gulshan"
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",,,9,vacant,5000,dhaka,"৳110,000,000","Free School Street, Kathalbagan"
2700 Square Feet Apartment For Sale In Gulshan 1,3,3,3,vacant,2700,dhaka,"৳55,000,000","Gulshan 1, Gulshan"
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3,2,2,vacant,1175,dhaka,"৳8,300,000","Baitul Aman Housing Society, Adabor"
Flat For Sale In Mirpur Section 6 Near Mosque,2,2,1,vacant,650,dhaka,"৳3,100,000","Section 6, Mirpur"
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3,4,1,vacant,1331,dhaka,"৳16,000,000","Sector 4, Uttara"
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2,2,4,vacant,900,dhaka,"৳4,500,000","Nobodoy Housing Society, Mohammadpur"
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3,3,2,vacant,1350,dhaka,"৳14,200,000","Free School Street, Kathalbagan"
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3,3,5,vacant,1200,dhaka,"৳7,500,000","Pallabi, Mirpur"
"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3,3,1,vacant,2045,dhaka,"৳23,625,000","Sector 7, Uttara"
Offering 1500 Sq Ft Flat For Sale In Niketan,3,3,1,vacant,1500,dhaka,"৳25,000,000","Block C, Niketan"
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3,3,4,vacant,1410,dhaka,"৳13,800,000","Vashani Goli, Shantinagar"
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2,2,5,vacant,650,dhaka,"৳4,000,000","Gandaria, Sutrapur"
An Apartment For Sale Is All Set For You To Settle In Mohammadpur Close To Dhaka Udyan Government College,3,3,8th,vacant,1100,dhaka,"৳4,700,000","Dhaka Uddan, Mohammadpur"
A Flat With All Facilities Is Up For Sale At West Shewrapara Near Baitul Arafa Masjid,3,2,2,vacant,1220,dhaka,"৳5,000,000","West Shewrapara, Mirpur"
1240 Square Feet Flat For Sale In The Location Of Shah Ali Bag,3,3,5,vacant,1240,dhaka,"৳7,320,000","Section 1, Mirpur"
1700 Sq.Ft. Apartment For Sale In Dakshin Khan Close To Nogoriabari Mohammadia Jame Masjid,3,3,5,vacant,1700,dhaka,"৳6,500,000","South Chalabon, Dakshin Khan"
Flat For Sale Covering A Beautiful Area In West Agargaon Nearby Momataj Memorial High School,3,3,1,vacant,1400,dhaka,"৳8,500,000","West Agargaon, Agargaon"
Residential Apartment Is For Sale In Mirpur Nearby Baitul Jannah Jame Masjid And Madrasha Complex,3,3,1,vacant,1050,dhaka,"৳4,700,000","Section 6, Mirpur"
A Commercial Building Is Up For Sale Which Is Located In Mirpur Nearby Mirpur Adhunik Hospital,,,6,vacant,16000,dhaka,"৳120,000,000","Section 12, Mirpur"
Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3,3,8,vacant,1240,dhaka,"৳8,700,000","Dakkhin Paikpara, Mirpur"
1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3,3,1,vacant,1504,dhaka,"৳7,100,000",Keraniganj
Find 750 Sq Ft Flat Available For Sale In Kadamtali,2,2,5,vacant,750,dhaka,"৳4,000,000","Kadamtali, Shyampur"
"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2,2,7,vacant,750,dhaka,"৳3,500,000","Kadamtali, Shyampur"
2.75 Katha Residential Plot For Sale In Mirpur-11,,,,vacant,1980,dhaka,"৳18,000,000","Section 11, Mirpur"
Worthy 1585 SQ FT residence is for sale at Aftab Nagar,3,5,2,vacant,1585,dhaka,"৳14,000,000","Block C, Aftab Nagar"
1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3,3,8,vacant,1485,dhaka,"৳13,200,000","Jahuri Moholla, Mohammadpur"
"1545 Sq Ft Flat With 3 Modest Bedrooms For Sale In Mirpur-2, Block C",3,3,5,vacant,1545,dhaka,"৳14,000,000","Section 2, Mirpur"
Completely suitable and ready flat of 1050 SQ FT for Sale in Kallyanpur,3,3,6,vacant,1050,dhaka,"৳8,200,000","Kallyanpur, Mirpur"
A Residential Building Of 5600 Sq Ft With 2.5 Katha Land Is Available For Sale In East Shewrapara,16,10,,vacant,5600,dhaka,"৳32,500,000","East Shewrapara, Mirpur"
"Near Rampura Thana, 900 Sq.ft And 2 Bedroom Flat For Sale In West Rampura",2,2,5,vacant,900,dhaka,"৳4,100,000","West Rampura, Rampura"
1340 Sq.ft Apartment Is For Sale Close To Muslim para Jame Masjid At Madhya Ajampur,3,3,3,vacant,1340,dhaka,"৳6,200,000","Madhya Ajampur, Dakshin Khan"
"1400 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mohammadpur, Mohammadia Housing Society",3,3,7,vacant,1400,dhaka,"৳11,500,000","Mohammadia Housing Society, Mohammadpur"
A Nicely Build 1275 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttar Badda .,3,3,3,vacant,1275,dhaka,"৳8,000,000","Uttar Badda, Badda"
"Spacious Office Space Of 1245 Sq Ft Is Waiting For sale In Block C, Niketan",,,3,vacant,1245,dhaka,"৳15,500,000","Block C, Niketan"
"An Apartment Is Up For Sale In Ibrahimpur, Near Ibrahimpur Central Jame Masjid.",2,2,5,vacant,1050,dhaka,"৳4,800,000","North Ibrahimpur, Ibrahimpur"
A Decent Apartment In Mohakhali Near Jabala ICDDRB Is Up For Sale,2,2,5,vacant,850,dhaka,"৳5,500,000","Dakhshin Para, Mohakhali"
Flat For Sale In West Agargaon Nearby Bangladesh Public Service Commission,3,4,2,vacant,1440,dhaka,"৳7,300,000","West Agargaon, Agargaon"
"You Can Move Into This Well Planned And Comfortable Residential Flat In Uttara Sector 11 For Sale , Of 948 Sq Ft, Near Shaheed Monsur Ali Medical College And Hospital",2,3,5,vacant,948,dhaka,"৳7,000,000","Sector 11, Uttara"
Stunning 2644 Square Feet Apartment For Sale In Gulshan 1,4,4,5,vacant,2644,dhaka,"৳35,000,000","Gulshan 1, Gulshan"
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2,2,6,vacant,800,dhaka,"৳6,950,000","North Circular Road, Dhanmondi"
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4,4,5,vacant,2000,dhaka,"৳22,000,000","Block B, Bashundhara R-A"
"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3,3,4,vacant,1593,dhaka,"৳21,500,000","Block B, Lalmatia"
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3,2,6,vacant,1220,dhaka,"৳5,000,000","West Shewrapara, Mirpur"
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2,2,1,vacant,1040,dhaka,"৳6,500,000","Section 15, Mirpur"
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3,3,4,vacant,1620,dhaka,"৳16,500,000","Block C, Khilgaon"
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3,3,4,vacant,1550,dhaka,"৳14,500,000","Block I, Bashundhara R-A"
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2,2,5,vacant,1000,dhaka,"৳5,500,000","Pallabi, Mirpur"
"We Offer You An Excellent And Spacious Commercial Space Of 1840 Sq Ft At Tejgaon, For Sale",,,3,vacant,1840,dhaka,"৳46,000,000","Hatir Jheel Link Road, Tejgaon"
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2,2,2,vacant,740,dhaka,"৳4,000,000","Pirerbag, Mirpur"
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3,3,6,vacant,1250,dhaka,"৳7,800,000","Section 10, Mirpur"
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3,3,5,vacant,1430,dhaka,"৳12,000,000","Block J, Bashundhara R-A"
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3,3,1,vacant,1690,dhaka,"৳14,800,000","Boro Maghbazar, Maghbazar"
A 1330 Square Ft. Apartment Is For Sale At Banasree,3,3,1,vacant,1330,dhaka,"৳7,900,000","Block B, Banasree"
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3,3,2,vacant,1230,dhaka,"৳7,400,000","East Shewrapara, Mirpur"
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3,3,7,vacant,1700,dhaka,"৳17,000,000","Sector 7, Uttara"
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3,3,6,vacant,1300,dhaka,"৳8,000,000","Sector 10, Uttara"
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3,2,6,vacant,1175,dhaka,"৳6,300,000","Pirerbag, Mirpur"
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3,3,6,vacant,1265,dhaka,"৳8,500,000","East Monipur, Mirpur"
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3,2,7,vacant,1000,dhaka,"৳5,700,000","Pirerbag, Mirpur"
A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3,3,1,vacant,1554,dhaka,"৳11,500,000","Pallabi, Mirpur"
1570 Sq Ft Flat For Sale In Imandipur Road near Imandipur Government Primary School,3,3,8,vacant,1570,dhaka,"৳5,600,000","Imandipur, Savar"
Visit This Apartment For Sale In East Monipur Near Life Aid Specialized Hospital Pvt. Ltd.,3,2,5,vacant,1050,dhaka,"৳4,500,000","East Monipur, Mirpur"
Check This Nice 815 Sq Ft Flat For Sale At East Monipur Nearby Monipur Baitur Rowshon Jame Masjid,2,2,6,vacant,815,dhaka,"৳4,200,000","East Monipur, Mirpur"
Stunning 2553 Square Feet Apartment For Sale In Uttara 5,4,5,7,vacant,2553,dhaka,"৳38,000,000","Sector 5, Uttara"
Commodious 1590 Sq Ft Flat For Sale In Banasree,3,3,6,vacant,1590,dhaka,"৳11,200,000","Block B, Banasree"
"2000 Sq Ft Flat For Sale In Banasree, Block A",4,4,4,vacant,2000,dhaka,"৳21,500,000","Block A, Banasree"
"Grab This 800 Square Feet Apartment For Sale In Bashundhara, Block J",2,2,4,vacant,800,dhaka,"৳8,600,000","Block J, Bashundhara R-A"
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3,4,3,vacant,1960,dhaka,"৳39,000,000","Gulshan 1, Gulshan"
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3,3,1,vacant,1705,dhaka,"৳16,900,000","Lake Circus Road, Kalabagan"
1370 square feet apartment is ready to sale in Shukrabad,3,3,6,vacant,1370,dhaka,"৳12,500,000","Shukrabad, Dhanmondi"
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3,3,4,vacant,2125,dhaka,"৳20,000,000","Block L, Bashundhara R-A"
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3,3,4,vacant,2687,dhaka,"৳47,500,000","Road No 25, Banani"
Modern 1150 Sq Ft Flat For Sale In Badda,3,3,3,vacant,1150,dhaka,"৳8,800,000","Middle Badda, Badda"
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3,3,8,vacant,2119,dhaka,"৳19,000,000","Block B, Bashundhara R-A"
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4,4,2,vacant,2318,dhaka,"৳23,000,000","Block D, Bashundhara R-A"
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3,3,8,vacant,1397,dhaka,"৳8,000,000","Matuail, Demra"
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3,3,1,vacant,2400,dhaka,"৳20,000,000","Block H, Aftab Nagar"
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3,3,3,vacant,1300,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3,3,4,vacant,1300,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3,3,6,vacant,1300,dhaka,"৳8,000,000","West Dolairpar, Shyampur"
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3,3,1,vacant,1900,dhaka,"৳21,000,000","Block B, Bashundhara R-A"
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3,3,5,vacant,1500,dhaka,"৳11,000,000","Block H, Aftab Nagar"
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3,3,3,vacant,1450,dhaka,"৳9,500,000","Sector 10, Uttara"
Offering you 750 SQ FT flat for sale in Uttara 10,2,2,2,vacant,750,dhaka,"৳6,200,000","Sector 10, Uttara"
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3,3,4,vacant,2343,dhaka,"৳22,000,000","Sector 6, Uttara"
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3,3,2,vacant,1350,dhaka,"৳14,200,000","Free School Street, Kathalbagan"
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3,3,5,vacant,1200,dhaka,"৳7,500,000","Pallabi, Mirpur"
"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3,3,1,vacant,2045,dhaka,"৳23,625,000","Sector 7, Uttara"
Offering 1500 Sq Ft Flat For Sale In Niketan,3,3,1,vacant,1500,dhaka,"৳25,000,000","Block C, Niketan"
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3,3,4,vacant,1410,dhaka,"৳13,800,000","Vashani Goli, Shantinagar"
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2,2,5,vacant,650,dhaka,"৳4,000,000","Gandaria, Sutrapur"
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3,3,5,vacant,1185,dhaka,"৳11,000,000","Lake Circus Road, Kalabagan"
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3,3,4,vacant,1610,dhaka,"৳13,100,000","Block H, Bashundhara R-A"
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4,4,7,vacant,2180,dhaka,"৳17,500,000","Block J, Bashundhara R-A"
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4,4,2,vacant,3650,dhaka,"৳78,000,000","Gulshan 2, Gulshan"
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",,,9,vacant,5000,dhaka,"৳110,000,000","Free School Street, Kathalbagan"
2700 Square Feet Apartment For Sale In Gulshan 1,3,3,3,vacant,2700,dhaka,"৳55,000,000","Gulshan 1, Gulshan"
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3,2,2,vacant,1175,dhaka,"৳8,300,000","Baitul Aman Housing Society, Adabor"
Flat For Sale In Mirpur Section 6 Near Mosque,2,2,1,vacant,650,dhaka,"৳3,100,000","Section 6, Mirpur"
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3,4,1,vacant,1331,dhaka,"৳16,000,000","Sector 4, Uttara"
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2,2,4,vacant,900,dhaka,"৳4,500,000","Nobodoy Housing Society, Mohammadpur"
950 Sq Ft Flat Featuring 3 Bedrooms For Sale In Malibagh,3,2,2,vacant,950,dhaka,"৳6,000,000","Gulbag, Malibagh"
"Start Residing In This 1230 Sq Ft, Properly Developed Apartment For Sale, In West Shewrapara",2,2,6,vacant,1230,dhaka,"৳5,000,000","West Shewrapara, Mirpur"
"1150 Sq Ft Apartment With Serene Views Is Up For Sale In Middle Monipur, Mirpur",3,2,7,vacant,1150,dhaka,"৳6,500,000","Middle Monipur, Mirpur"
"Make Sure To Buy This 1150 Sq Ft Apartment, If You Are Looking For A Permanent Residence In Middle Monipur",3,2,7,vacant,1150,dhaka,"৳6,500,000","Middle Monipur, Mirpur"
1150 Sq.ft Apartment Is Available For Sale In West Manikdi Which Is Tailored To Your Highest Standards,3,3,7,vacant,1150,dhaka,"৳6,700,000","Manikdi, Cantonment"
"Plan Your Urban Life In This 1250 Sq Ft Flat For Sale In Mirpur, East Kazipara",3,3,2,vacant,1250,dhaka,"৳7,600,000","East Kazipara, Mirpur"
"Get Ready To Buy This Great Home Of 860 sft In Mirpur, Rupnagar R/a",2,2,2,vacant,860,dhaka,"৳4,900,000","Rupnagar R/A, Mirpur"
1050 Square Feet Residential Apartment For Sale At West Kazipara Nearby Baish Bari Masjid,3,2,1,vacant,1050,dhaka,"৳6,200,000","West Kazipara, Mirpur"
"Worthy 3355 Sq Ft Residential Apartment Is For Sale At Uttara, Sector 4",4,4,10,vacant,3355,dhaka,"৳39,000,000","Sector 4, Uttara"
Buy This 1375 Sq Ft Apartment In Mirpur-6,3,3,5,vacant,1375,dhaka,"৳12,100,000","Section 6, Mirpur"
Full Commercial Building With 30.55 Katha Land Is Up For Sale In Hemayetpur,,,4,vacant,21500,dhaka,"৳220,000,000","Hemayetpur, Savar"
Worthy 900 SQ FT residence is for sale at North Pirerbag,3,2,2,vacant,900,dhaka,"৳5,000,000","Pirerbag, Mirpur"
"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3,3,5,vacant,1008,dhaka,"৳4,838,400","Section 10, Mirpur"
For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3,2,3,vacant,1055,dhaka,"৳5,300,000","Moushair, Dakshin Khan"
Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3,3,5,vacant,1800,dhaka,"৳16,000,000","Block F, Bashundhara R-A"
1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3,3,2,vacant,1250,dhaka,"৳5,250,000","Ahmed Nagar, Mirpur"
A 2146 Sq. Ft Residential Building For Sale Is All Set For You To Settle In Dendabor.,8,4,,vacant,2146,dhaka,"৳10,500,000","Ashulia, Savar"
"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3,2,9,vacant,900,dhaka,"৳2,900,000","Hemayetpur, Savar"
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2,2,6,vacant,1050,dhaka,"৳3,360,000","Radio Colony, Savar"
Find 1250 SQ FT flat available for sale in Bashundhara R-A,3,3,2,vacant,1250,dhaka,"৳11,500,000","Block C, Bashundhara R-A"
"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3,3,9,vacant,1675,dhaka,"৳9,712,500","Section 1, Mirpur"
"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3,3,1,vacant,1300,dhaka,"৳7,500,000","Ahmed Nagar, Mirpur"
There Is 3 Bedroom Apartment Up For Sale In The Location Of Dhanmondi Near Sunnydale.,3,4,1,vacant,2787,dhaka,"৳29,000,000","Road No 12A, Dhanmondi"
5040 Sq. Ft Apartment Which Is Up For Sale At Bashundhara R-a Near To Ebenzer International School.,4,4,9,vacant,5040,dhaka,"৳54,000,000","Block C, Bashundhara R-A"
"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3,2,5,vacant,986,dhaka,"৳6,200,000","Sector 9, Uttara"
